classes,count,,,,,
http://dbpedia.org/class/yago/ChildClassicalMusicians,30,,,,,
http://dbpedia.org/class/yago/RhythmGuitarists,30,,,,,
http://dbpedia.org/class/yago/EnglishRockBassGuitarists,29,,,,,
http://dbpedia.org/ontology/WrittenWork,29,,,,,
http://dbpedia.org/class/yago/CanadianRockGuitarists,29,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1986,29,,,,,
http://dbpedia.org/class/yago/AmericanMusiciansOfMexicanDescent,29,,,,,
http://dbpedia.org/class/yago/AmericanFolkMusicians,29,,,,,
http://dbpedia.org/ontology/Type,29,,,,,
http://dbpedia.org/class/yago/PeopleFromKingston,Jamaica,29,,,,
http://dbpedia.org/class/yago/GermanMusicalGroups,29,,,,,
http://dbpedia.org/class/yago/PeopleFromPhiladelphia,Pennsylvania,29,,,,
http://dbpedia.org/class/yago/PeopleFromLondon,29,,,,,
http://dbpedia.org/class/yago/VaudevillePerformers,28,,,,,
http://dbpedia.org/class/yago/AfricanAmericanGuitarists,28,,,,,
http://dbpedia.org/class/yago/HeavyMetalMusicalGroupsFromCalifornia,28,,,,,
http://dbpedia.org/class/yago/EnglishRockDrummers,28,,,,,
http://dbpedia.org/class/yago/MusiciansFromMassachusetts,28,,,,,
http://dbpedia.org/class/yago/PeopleWithBipolarDisorder,28,,,,,
http://dbpedia.org/class/yago/PeopleFromAtlanta,Georgia,28,,,,
http://dbpedia.org/class/yago/JapaneseFemaleSingers,28,,,,,
http://dbpedia.org/class/yago/20th-centuryActors,28,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn2002,28,,,,,
http://dbpedia.org/class/yago/TorchSingers,28,,,,,
http://dbpedia.org/class/yago/PseudonymousMusicians,27,,,,,
http://dbpedia.org/class/yago/EnglishVegetarians,27,,,,,
http://dbpedia.org/class/yago/JewishAmericanComposersAndSongwriters,27,,,,,
http://dbpedia.org/class/yago/MusiciansFromMontreal,27,,,,,
http://dbpedia.org/ontology/Olympics,27,,,,,
http://dbpedia.org/class/yago/AmericanDJs,27,,,,,
http://dbpedia.org/class/yago/MusicalGroupsEstablishedIn1991,27,,,,,
http://dbpedia.org/class/yago/EnglishElectronicMusicians,27,,,,,
http://dbpedia.org/ontology/Stadium,27,,,,,
http://dbpedia.org/class/yago/AmericanPunkRockSingers,27,,,,,
http://dbpedia.org/class/yago/AmericanBassGuitarists,27,,,,,
http://dbpedia.org/class/yago/AmericanAlternativeRockMusicians,27,,,,,
http://dbpedia.org/class/yago/AmericanVegans,27,,,,,
http://dbpedia.org/class/yago/TzadikRecordsArtists,27,,,,,
http://dbpedia.org/ontology/SportsEvent,27,,,,,
http://dbpedia.org/class/yago/SalsaMusicians,27,,,,,
http://dbpedia.org/class/yago/PeopleFromDetroit,Michigan,27,,,,
http://dbpedia.org/class/yago/FrenchFemaleSingers,27,,,,,
http://dbpedia.org/class/yago/MusiciansFromGeorgia(U.S.State),26,,,,,
http://dbpedia.org/ontology/MusicGenre,26,,,,,
http://dbpedia.org/class/yago/BlindMusicians,26,,,,,
http://dbpedia.org/ontology/phylum,26,,,,,
http://dbpedia.org/class/yago/AmericanKeyboardists,26,,,,,
http://dbpedia.org/class/yago/ChessRecordsArtists,26,,,,,
http://dbpedia.org/class/yago/UndergroundRappers,26,,,,,
http://dbpedia.org/class/yago/African-AmericanActors,26,,,,,
http://dbpedia.org/class/yago/MusiciansFromPennsylvania,26,,,,,
http://dbpedia.org/class/yago/AustralianFemaleSingers,26,,,,,
http://dbpedia.org/class/yago/MusiciansFromWashington(state),26,,,,,
http://dbpedia.org/ontology/Planet,26,,,,,
http://dbpedia.org/ontology/Automobile,26,,,,,
http://dbpedia.org/class/yago/ActorsFromNewYorkCity,26,,,,,
http://dbpedia.org/ontology/genus,26,,,,,
http://dbpedia.org/ontology/order,26,,,,,
http://dbpedia.org/class/yago/AmericanJazzDrummers,26,,,,,
http://www.w3.org/2003/01/geo/wgs84_pos#SpatialThing,26,,,,,
http://dbpedia.org/class/yago/JazzMusiciansFromNewOrleans,Louisiana,26,,,,
http://dbpedia.org/class/yago/EnglishDanceMusicians,26,,,,,
http://dbpedia.org/class/yago/MelodifestivalenContestants,26,,,,,
http://dbpedia.org/class/yago/EnjaRecordsArtists,25,,,,,
http://dbpedia.org/class/yago/AmericanJazzBandleaders,25,,,,,
http://dbpedia.org/class/yago/A&MRecordsArtists,25,,,,,
http://dbpedia.org/class/yago/FastFolkArtists,25,,,,,
http://dbpedia.org/ontology/Politician,25,,,,,
http://dbpedia.org/class/yago/AmericanPeopleOfGermanDescent,25,,,,,
http://dbpedia.org/class/yago/ProtopunkMusicians,25,,,,,
http://dbpedia.org/class/yago/LibertyRecordsArtists,25,,,,,
http://dbpedia.org/class/yago/PrestigeRecordsArtists,25,,,,,
http://dbpedia.org/class/yago/FemaleNewWaveSingers,25,,,,,
http://dbpedia.org/ontology/Newspaper,25,,,,,
http://dbpedia.org/class/yago/AmericanStageActors,25,,,,,
http://dbpedia.org/class/yago/IrishMaleSingers,25,,,,,
http://yago-knowledge.org/resource/EuropeanUnionMemberEconomies,25,,,,,
http://dbpedia.org/class/yago/AmericanPeopleOfScottishDescent,25,,,,,
http://dbpedia.org/ontology/Award,25,,,,,
http://dbpedia.org/class/yago/E1MusicArtists,25,,,,,
http://dbpedia.org/class/yago/AustralianMaleSingers,25,,,,,
http://dbpedia.org/class/yago/SwedishMaleSingers,25,,,,,
http://dbpedia.org/class/yago/PeopleFromSanDiego,California,24,,,,
http://dbpedia.org/class/yago/FemaleRappers,24,,,,,
http://dbpedia.org/class/yago/AmericanPeopleOfNativeAmericanDescent,24,,,,,
http://dbpedia.org/class/yago/PresidentsOfTheUnitedStates,24,,,,,
http://dbpedia.org/class/yago/OkehRecordsArtists,24,,,,,
