Concept,count
http://dbpedia.org/ontology/HollywoodCartoon,1455
http://dbpedia.org/class/yago/WikicatPeopleFromSydney,1453
http://dbpedia.org/class/yago/WikicatAmericanDramatistsAndPlaywrights,1445
http://dbpedia.org/class/yago/WikicatAmericanChildren'sWriters,1445
http://dbpedia.org/class/yago/WikicatStanleyCupChampions,1443
http://dbpedia.org/class/yago/WikicatOlympicMedalistsInSwimming,1442
"http://dbpedia.org/class/yago/WikicatPeopleFromMilwaukee,Wisconsin",1442
"http://dbpedia.org/class/yago/WikicatPeopleFromBaltimore,Maryland",1439
http://dbpedia.org/class/yago/WikicatAnimalsDescribedIn1758,1437
http://dbpedia.org/class/yago/WikicatSwedishFootballers,1437
http://dbpedia.org/class/yago/WikicatTownshipsInIllinois,1436
http://dbpedia.org/ontology/ClassicalMusicComposition,1436
"http://dbpedia.org/class/yago/WikicatPeopleFromSt.Louis,Missouri",1430
http://dbpedia.org/class/yago/WikicatBaseballPlayersFromPennsylvania,1430
http://dbpedia.org/class/yago/WikicatUSLPremierDevelopmentLeaguePlayers,1428
http://dbpedia.org/ontology/CyclingRace,1411
http://dbpedia.org/class/yago/WikicatSuperleagueGreecePlayers,1410
http://dbpedia.org/class/yago/WikicatPhiladelphiaEaglesPlayers,1408
http://dbpedia.org/class/yago/WikicatAmericanEconomists,1405
http://dbpedia.org/class/yago/WikicatTerceraDivisiónFootballers,1404
http://dbpedia.org/class/yago/WikicatUnincorporatedCommunitiesInVirginia,1404
http://dbpedia.org/class/yago/WikicatPolishFootballers,1401
http://dbpedia.org/class/yago/WikicatTelugu-languageFilms,1387
http://dbpedia.org/class/yago/WikicatAmericanPsychologists,1386
http://dbpedia.org/class/yago/WikicatAmericanSculptors,1385
http://dbpedia.org/class/yago/WikicatUkrainianFootballers,1383
http://dbpedia.org/ontology/Genre,1382
http://dbpedia.org/class/yago/WikicatAmericanLatterDaySaints,1382
http://dbpedia.org/class/yago/WikicatAmericanFootballOffensiveGuards,1371
http://dbpedia.org/class/yago/WikicatOlympicMedalistsInFootball,1361
http://dbpedia.org/class/yago/WikicatUniversalPicturesFilms,1359
http://dbpedia.org/class/yago/WikicatAmericanScienceFictionWriters,1357
http://dbpedia.org/class/yago/WikicatUkrainianPremierLeaguePlayers,1344
http://dbpedia.org/class/yago/WikicatAmericanComedians,1341
http://dbpedia.org/class/yago/WikicatAmericanCountrySingers,1340
http://dbpedia.org/class/yago/WikicatAmericanComputerScientists,1332
http://dbpedia.org/class/yago/WikicatAmericanChildActresses,1331
