classes,count
http://dbpedia.org/dbtax/Drug,8806
http://www.wikidata.org/entity/Q4936952,8763
http://dbpedia.org/ontology/MusicGenre,8760
http://dbpedia.org/dbtax/Channel,8745
http://www.wikidata.org/entity/Q623109,8701
http://dbpedia.org/dbtax/Philosopher,8678
http://wikidata.dbpedia.org/ontology/SoccerClubSeason,8669
http://www.wikidata.org/entity/Q82799,8650
http://wikidata.dbpedia.org/ontology/SportFacility,8648
http://www.wikidata.org/entity/Q1370598,8625
http://dbpedia.org/ontology/Magazine,8585
http://dbpedia.org/ontology/AnatomicalStructure,8579
http://dbpedia.org/ontology/Monument,8523
http://dbpedia.org/ontology/Ambassador,8515
http://wikidata.dbpedia.org/ontology/TelevisionEpisode,8475
http://www.wikidata.org/entity/Q378622,8449
http://wikidata.dbpedia.org/ontology/ProtectedArea,8421
http://dbpedia.org/dbtax/Broadcaster,8397
http://dbpedia.org/dbtax/Theory,8388
http://wikidata.dbpedia.org/ontology/Device,8386
http://dbpedia.org/ontology/Sales,8365
http://www.wikidata.org/entity/Q194189,8365
http://dbpedia.org/dbtax/Ambassador,8356
http://dbpedia.org/dbtax/Designer,8328
http://dbpedia.org/ontology/AcademicJournal,8307
http://www.wikidata.org/entity/Q12280,8263
http://wikidata.dbpedia.org/ontology/HistoricBuilding,8220
http://dbpedia.org/dbtax/Monument,8158
http://wikidata.dbpedia.org/ontology/TelevisionStation,8134
http://schema.org/WebPage,8061
http://dbpedia.org/dbtax/Concept,8044
http://www.wikidata.org/entity/Q13474373,8016
http://dbpedia.org/dbtax/Field,7968
http://dbpedia.org/dbtax/Incident,7792
http://dbpedia.org/ontology/GovernmentAgency,7760
http://www.wikidata.org/entity/Q46970,7758
http://dbpedia.org/dbtax/Mammal,7737
http://wikidata.dbpedia.org/ontology/Song,7565
http://www.wikidata.org/entity/Q728937,7547
http://dbpedia.org/dbtax/Communication,7520
http://dbpedia.org/dbtax/Editor,7379
http://dbpedia.org/dbtax/Term,7373
http://wikidata.dbpedia.org/ontology/ChristianBishop,7357
http://dbpedia.org/dbtax/Mathematician,7352
http://www.wikidata.org/entity/Q43115,7319
http://www.wikidata.org/entity/Q202444,7299
http://dbpedia.org/ontology/Swimmer,7281
http://www.wikidata.org/entity/Q634,7270
http://dbpedia.org/ontology/ReligiousBuilding,7242
http://wikidata.dbpedia.org/ontology/Stadium,7193
